seccion,manzana,parcela,partida,calle_nombre,calle_altura,vencimiento_certificado
21,2,9,429255.0,"ALVAREZ, JULIAN",2531.0,2019-03-12
79,89,22,260164.0,"LAMARCA, EMILIO",1014.0,2019-03-30
17,14,27,173288.0,SARMIENTO,4579.0,2019-05-03
42,16,1,140186.0,DIRECTORIO AV.,1706.0,2019-06-10
11,65,6,442215.0,ALVEAR AV.,1974.0,2019-06-16
11,50,8,442338.0,LAS HERAS GENERAL AV.,2062.0,2019-07-01
87,020A,16,286628.0,NOGOYA,5138.0,2019-07-18
22,23,29,181631.0,PAVON,2361.0,2019-07-18
2,12,12,216001.0,PIEDRAS,534.0,2019-07-25
2,29,12,215605.0,CHILE,577.0,2019-07-25
65,16,1,137448.0,ARGERICH,698.0,2019-07-31
3,56,005G,453032.0,SAN MARTIN,1109.0,2019-07-31
3,54,30,450128.0,RECONQUISTA,962.0,2019-08-01
3,30,11,450536.0,SUIPACHA,1183.0,2019-08-08
3,19,6,450627.0,PARAGUAY,956.0,2019-08-08
4,17,24,210907.0,"CALVO, CARLOS",659.0,2019-08-09
22,60,30,180311.0,"CALVO, CARLOS",1901.0,2019-08-12
3,54,025A,450102.0,RECONQUISTA,906.0,2019-08-15
9,48,024A,207857.0,TUCUMAN,2247.0,2019-08-26
15,106,24,443372.0,ARENALES,2871.0,2019-08-26
19,143,2,428511.0,CHARCAS,4514.0,2019-09-06
11,61,26,442137.0,"LOPEZ, VICENTE",1933.0,2019-09-06
45,75,11,175567.0,HIDALGO,873.0,2019-09-12
42,9,16,140076.0,CARABOBO AV.,144.0,2019-09-24
33,65,19,402228.0,OLLEROS,3651.0,2019-09-25
65,110C,16,134229.0,GRANADEROS,174.0,2019-09-27
25,15,010A,335345.0,ARCOS,1816.0,2019-09-30
16,53,007A,112364.0,"GARAY, JUAN DE AV.",1264.0,2019-10-04
20,3,32,202346.0,SAAVEDRA,483.0,2019-10-08
41,86,017A,371672.0,MONROE,3045.0,2019-10-25
4,16,27,210946.0,HUMBERTO 1°,639.0,2019-12-07
15,104,029A,447193.0,CHARCAS,2955.0,2019-12-10
71,5,17,256337.0,"GUTIERREZ, RICARDO",3193.0,2019-12-16
15,92,18,445676.0,"PACHECO DE MELO, JOSE ANDRES",2665.0,2019-12-23
8,33,16,111054.0,BRASIL,819.0,2020-01-16
65,47,4,136384.0,"VALLESE, FELIPE",2730.0,2020-01-16
49,32,009C,311837.0,DONADO,882.0,2020-01-16
74,140,17,12925.0,PIZARRO,6052.0,2020-01-16
27,84,23,338094.0,MONTAÑESES,3010.0,2020-01-16
19,104,001H,426131.0,ARAOZ,1942.0,2020-01-16
19,122,13,428493.0,PARAGUAY,4688.0,2020-01-16
12,7,20,218292.0,ENTRE RIOS AV.,196.0,2020-01-16
41,142,5,327618.0,"RIVERA, PEDRO I., Dr.",2576.0,2020-01-16
21,34,008C,429653.0,"SCALABRINI ORTIZ, RAUL",2890.0,2020-01-16
22,68,4,180047.0,ESTADOS UNIDOS,1828.0,2020-01-16
17,101,027D,170096.0,BULNES,210.0,2020-01-16
7,18,14,452272.0,ARENALES,1662.0,2020-01-16
7,18,039A,452250.0,SANTA FE AV.,1637.0,2020-01-16
65,63,9,135611.0,ESTADO PLURINACIONAL DE BOLIVIA,387.0,2020-01-16
17,55,47,171712.0,GASCON,254.0,2020-01-16
2,2,028A,216258.0,CHILE,801.0,2020-01-16
72,14,43,21458.0,"SUAREZ, JOSE LEON",219.0,2020-01-16
15,133,4,441340.0,"MANSILLA, LUCIO NORBERTO, GENERAL",2554.0,2020-01-16
22,36,29,181095.0,"CALVO, CARLOS",2255.0,2020-01-16
54,81,001A,91870.0,"CARRERAS, SANTIAGO de las",27.0,2020-01-16
28,37,2,193947.0,BELGRANO AV.,3168.0,2020-01-16
72,139,9,13111.0,"BOSCH, VENTURA",6370.0,2020-01-16
7,18,037A,452252.0,SANTA FE AV.,1651.0,2020-01-16
65,30,6,137243.0,GAONA AV.,3542.0,2020-01-16
43,30,8,368922.0,MELIAN AV.,3685.0,2020-01-16
48,43,004A,148573.0,LAFUENTE AV.,809.0,2020-01-16
41,134,023C,377280.0,CONGRESO AV.,2641.0,2020-01-16
36,138,11,150011.0,COLOMBRES,48.0,2020-01-17
7,24,15,452451.0,"QUINTANA, MANUEL, PRES.",263.0,2020-01-17
17,49,32,172331.0,HUMAHUACA,4317.0,2020-01-17
22,60,5,180285.0,ESTADOS UNIDOS,1936.0,2020-01-17
9,47,20,206234.0,LAVALLE,2285.0,2020-01-17
37,062B,20,409334.0,DE LOS INCAS AV.,3438.0,2020-01-17
48,24,005A,149972.0,"FALCON, RAMON L.,CNEL.",3065.0,2020-01-17
30,85,28,182816.0,"CALVO, CARLOS",2861.0,2020-01-17
13,15,27,192376.0,BILLINGHURST,308.0,2020-01-17
22,5,19,182103.0,ALBERTI,1275.0,2020-01-17
35,112,37,402952.0,HUMBOLDT,2344.0,2020-01-17
7,41,027B,451591.0,SANTA FE AV.,1335.0,2020-01-17
65,93,16,135205.0,PAEZ,2415.0,2020-01-17
79,133,21,258977.0,"GARCIA, JUAN AGUSTIN",3399.0,2020-01-17
15,147,1,445258.0,"GELLY Y OBES, GRAL. AV.",2294.0,2020-01-17
19,14,2,426289.0,GORRITI,4640.0,2020-01-17
48,114C,16,142393.0,CRANWELL,586.0,2020-01-17
79,139,30,258246.0,"DIAZ, CESAR, GRAL.",3253.0,2020-01-17
30,63,6,183633.0,SAN JUAN AV.,3046.0,2020-01-17
65,37,1,136727.0,"VALLESE, FELIPE",2802.0,2020-01-17
87,032B,019A,305198.0,"SASTRE, MARCOS",5054.0,2020-01-17
77,75,17,2246.0,SEGUROLA AV.,128.0,2020-01-17
43,162,2,334297.0,ARIAS,2520.0,2020-01-17
7,5,001A,452591.0,JUNCAL,1756.0,2020-01-17
8,2,005E,117905.0,ISABEL LA CATOLICA,323.0,2020-01-18
21,83,23,430593.0,CERVIÑO AV.,4471.0,2020-01-18
71,054A,000F,310258.0,TINOGASTA,2685.0,2020-01-18
48,114C,13,142390.0,CRANWELL,568.0,2020-01-18
31,102,14,421409.0,"SCALABRINI ORTIZ, RAUL AV.",1203.0,2020-01-18
13,92,005A,195517.0,TUCUMAN,2842.0,2020-01-18
48,122,016C,458175.0,DIRECTORIO AV.,2241.0,2020-01-18
2,18,7,215885.0,PIEDRAS,30.0,2020-01-18
37,118A,018B,410723.0,CRAMER AV.,1764.0,2020-01-18
48,96,6,143282.0,"BONIFACIO, JOSE",2576.0,2020-01-18
23,114,23,413481.0,"GARCIA, TEODORO",1733.0,2020-01-18
39,7,2,326685.0,MONROE,3766.0,2020-01-18
22,22,12,181660.0,PAVON,2378.0,2020-01-18
19,148,17,424967.0,CHARCAS,3631.0,2020-01-18
30,57,28,183757.0,"GARAY, JUAN DE AV.",3081.0,2020-01-18
48,144,24,140944.0,LAUTARO,139.0,2020-01-18
15,106,14,443382.0,AGUERO,1791.0,2020-01-18
15,32,14,446439.0,BILLINGHURST,2534.0,2020-01-18
39,86,10,326624.0,OLAZABAL,2649.0,2020-01-18
45,150,16,173946.0,DIAZ VELEZ AV.,4569.0,2020-01-18
48,100C,6,143157.0,PEDERNERA,1030.0,2020-01-18
49,133,17,238701.0,TRIUNVIRATO AV.,2883.0,2020-01-18
8,52,021A,118194.0,"GARCIA, MARTIN AV.",417.0,2020-01-18
48,112F,6,142564.0,ROBERTSON,740.0,2020-01-18
19,103,15,425754.0,SOLER,4263.0,2020-01-18
1,37,002B,220371.0,LAVALLE,416.0,2020-01-18
36,12,32,160976.0,MUÑIZ,469.0,2020-01-18
48,113G,6,142513.0,ROBERTSON,640.0,2020-01-18
54,042A,20,25820.0,MORETO,629.0,2020-01-18
81,147,28,264015.0,CAMPANA,2450.0,2020-01-18
35,85,27,402873.0,HUMBOLDT,2160.0,2020-01-19
4,32,26,210388.0,COCHABAMBA,373.0,2020-01-19
25,70,014B,376792.0,DEL LIBERTADOR AV.,6037.0,2020-01-19
48,122,23,141624.0,"BONORINO, ESTEBAN, Cnel. AV.",349.0,2020-01-19
65,30,12,137237.0,GAONA AV.,3576.0,2020-01-19
48,114D,24,142435.0,CRANWELL,579.0,2020-01-19
30,73,9,183338.0,SAN JUAN AV.,2937.0,2020-01-19
65,93,3,135218.0,NEUQUEN,2430.0,2020-01-19
35,100,17,403317.0,BONPLAND,2245.0,2020-01-19
48,100C,10,143161.0,PEDERNERA,1056.0,2020-01-19
37,143,5,410211.0,AMENABAR,1243.0,2020-01-19
8,35,1,110990.0,CASEROS AV.,602.0,2020-01-19
48,132,26,141305.0,"BONORINO, ESTEBAN, Cnel. AV.",394.0,2020-01-19
45,145,20,173805.0,AVELLANEDA,77.0,2020-01-19
37,92,5,409447.0,DE LOS INCAS AV.,3128.0,2020-01-19
48,115,11,142274.0,DIRECTORIO AV.,2360.0,2020-01-19
36,11,18,154319.0,LA PLATA AV.,476.0,2020-01-19
17,48,28,172325.0,ESTADO DE PALESTINA,748.0,2020-01-19
7,12,017B,452943.0,CALLAO AV.,2001.0,2020-01-20
1,11,29,220867.0,MAIPU,216.0,2020-01-20
34,062B,21,107072.0,CACHI,440.0,2020-01-20
22,31,45,181321.0,PASCO,1425.0,2020-01-20
37,81,004A,409561.0,"FREIRE, RAMON, CAP. GRAL.",1668.0,2020-01-20
11,63,021A,442176.0,GUIDO,1923.0,2020-01-20
13,91,018B,195963.0,ECUADOR,531.0,2020-01-20
11,86,36,441993.0,CALLAO AV.,2024.0,2020-01-20
11,8,022A,442713.0,PUEYRREDON AV.,1733.0,2020-01-20
11,78,7,440107.0,ARENALES,1845.0,2020-01-20
25,86,001C,368217.0,BLANCO ENCALADA,1204.0,2020-01-20
8,35,005A,117823.0,CASEROS AV.,716.0,2020-01-21
39,92,008B,370626.0,AMENABAR,2209.0,2020-01-21
35,82,49,405821.0,AMENABAR,459.0,2020-01-21
48,153,35,140717.0,CARABOBO AV.,217.0,2020-01-21
65,120A,35,134082.0,FRAY LUIS BELTRAN,78.0,2020-01-21
37,142,015A,416655.0,CESPEDES,2531.0,2020-01-21
17,064A,55,170768.0,RIVADAVIA AV.,3949.0,2020-01-21
35,44,15,402735.0,FITZ ROY,1839.0,2020-01-21
8,18,6,111459.0,"JOVELLANOS, GASPAR M. de",328.0,2020-01-21
12,71,17,216477.0,"IRIGOYEN, BERNARDO de",678.0,2020-01-21
31,98,2,420457.0,LAVALLEJA,1291.0,2020-01-21
28,42,3,198799.0,MEXICO,3044.0,2020-01-21
22,35,42,181149.0,PASCO,1011.0,2020-01-21
36,6,025A,162063.0,MUÑIZ,1089.0,2020-01-21
48,110A,13,141989.0,ESPARTACO,962.0,2020-01-22
36,46,10,153128.0,RIVADAVIA AV.,4296.0,2020-01-22
79,005D,14,306306.0,"DIAZ, CESAR, GRAL.",4387.0,2020-01-22
19,125,4,424219.0,"MANSILLA, LUCIO NORBERTO, GENERAL",3682.0,2020-01-22
15,8,26,444813.0,"DIAZ, CNEL. AV.",1520.0,2020-01-22
40,72,11,157179.0,FORMOSA,578.0,2020-01-22
34,10,012D,910412.0,SAENZ AV.,914.0,2020-01-22
19,89,2,426467.0,SOLER,4422.0,2020-01-22
39,9,17,325268.0,"SUCRE, ANTONIO JOSE de, Mcal.",3601.0,2020-01-22
40,33,13,158351.0,THOMPSON,618.0,2020-01-22
37,130,28,410023.0,AMENABAR,1084.0,2020-01-22
39,30,002F,374212.0,"SUCRE, ANTONIO JOSE de, Mcal.",3366.0,2020-01-22
57,30,019C,132842.0,"VALLESE, FELIPE",1719.0,2020-01-22
23,10,004A,414408.0,MAURE,2334.0,2020-01-22
48,127,25,141455.0,CAMACUA,845.0,2020-01-22
31,40,5,421573.0,LOYOLA,448.0,2020-01-22
35,115,8,402554.0,HUMBOLDT,2481.0,2020-01-22
28,24,42,195818.0,SANCHEZ DE LORIA,115.0,2020-01-22
5,036A,003A,224003.0,"PERON, JUAN DOMINGO, TTE. GENERAL",1374.0,2020-01-22
19,017B,001A,427486.0,GORRITI,4908.0,2020-01-22
31,61,14,420623.0,CASTILLO,177.0,2020-01-22
12,70,023B,216518.0,TACUARI,739.0,2020-01-22
38,196,1,38278.0,RONDEAU,3708.0,2020-01-22
35,48,4,404455.0,COSTA RICA,5930.0,2020-01-22
48,8,001B,146369.0,"MARTI, JOSE",415.0,2020-01-22
19,32,20,426718.0,ARMENIA,1535.0,2020-01-22
47,172,20,295523.0,CORRIENTES AV.,5248.0,2020-01-22
15,71,32,445935.0,BOLLINI,2282.0,2020-01-22
61,195,19,244399.0,TRIUNVIRATO AV.,3942.0,2020-01-22
11,80,12,441834.0,AYACUCHO,1577.0,2020-01-22
47,158,003A,305361.0,"JUSTO, JUAN B. AV.",2726.0,2020-01-22
30,10,013A,186031.0,BOEDO AV.,722.0,2020-01-22
11,13,027A,447577.0,CORDOBA AV.,2475.0,2020-01-22
17,89,5,170487.0,INCA,3846.0,2020-01-23
41,12,20,326988.0,MELIAN AV.,2542.0,2020-01-23
39,8,7,325028.0,WASHINGTON,1821.0,2020-01-23
15,100,005D,447136.0,"CABRERA, JOSE A.",3046.0,2020-01-23
65,30,23,137226.0,NEUQUEN,2945.0,2020-01-23
22,22,043A,181693.0,PICHINCHA,1547.0,2020-01-23
22,44,34,180803.0,RINCON,983.0,2020-01-23
48,114A,13,142328.0,CIPOLLETTI,554.0,2020-01-23
22,22,44,181694.0,PICHINCHA,1527.0,2020-01-23
77,42,20,5224.0,RIVADAVIA AV.,8867.0,2020-01-23
12,46,30,217078.0,MORENO,1223.0,2020-01-23
49,55,3,241200.0,ALVAREZ THOMAS AV.,2226.0,2020-01-23
22,67,7,180091.0,"CALVO, CARLOS",1852.0,2020-01-23
15,8,1,444808.0,"DIAZ, CNEL. AV.",1596.0,2020-01-23
47,022A,18,229691.0,BATALLA DEL PARI,661.0,2020-01-23
39,86,002D,326607.0,BLANCO ENCALADA,2664.0,2020-01-23
48,100C,9,143160.0,PEDERNERA,1050.0,2020-01-23
67,29,009D,296457.0,"BELAUSTEGUI, LUIS, Dr.",2998.0,2020-01-23
48,74,31,144009.0,CULPINA,880.0,2020-01-23
65,36,001M,136685.0,NAZCA AV.,677.0,2020-01-23
8,74,019A,110020.0,BRASIL AV.,351.0,2020-01-23
65,54,003A,149256.0,AVELLANEDA AV.,2676.0,2020-01-23
45,79,21,175182.0,RIVADAVIA AV.,4953.0,2020-01-23
22,38,4,181001.0,PAVON,2144.0,2020-01-23
19,116,5,426525.0,PARAGUAY,4156.0,2020-01-23
19,155,016A,427764.0,"BORGES, JORGE LUIS",2337.0,2020-01-23
81,13,9,277521.0,"BEIRO, FRANCISCO AV.",4318.0,2020-01-23
30,57,37,183766.0,"GARAY, JUAN DE AV.",3033.0,2020-01-23
5,33,029B,222333.0,URUGUAY AV.,632.0,2020-01-23
15,71,20,445914.0,PEÑA,2939.0,2020-01-23
35,109,29,413865.0,"NEWBERY, JORGE",2441.0,2020-01-23
48,56,23,144609.0,CASTAÑON,956.0,2020-01-23
41,12,4,372885.0,ROOSEVELT FRANKLIN D.,3674.0,2020-01-24
41,12,3,372886.0,ROOSEVELT FRANKLIN D.,3670.0,2020-01-24
39,88,003D,325192.0,AMENABAR,1887.0,2020-01-24
65,108,023B,134765.0,GAVILAN,1010.0,2020-01-24
48,152,008A,140727.0,DIRECTORIO AV.,1969.0,2020-01-24
13,46,8,191104.0,"MITRE, BARTOLOME",3264.0,2020-01-24
49,52,43,241384.0,ALVAREZ THOMAS AV.,2332.0,2020-01-24
30,39,21,184203.0,24 DE NOVIEMBRE,1057.0,2020-01-24
2,15,014E,219069.0,CHACABUCO,253.0,2020-01-24
35,5,15,403904.0,"RAVIGNANI, EMILIO, Dr.",1577.0,2020-01-24
57,92,15,147694.0,AVELLANEDA AV.,1235.0,2020-01-24
22,40,24,180941.0,CONSTITUCION,2181.0,2020-01-24
9,82,40,205222.0,CALLAO AV.,782.0,2020-01-24
39,33,004L,374144.0,MENDOZA,3358.0,2020-01-24
7,12,33,452805.0,RODRIGUEZ PEÑA,2082.0,2020-01-24
17,83,41,171173.0,MEDRANO AV.,854.0,2020-01-24
25,29,18,335390.0,3 DE FEBRERO,1856.0,2020-01-24
30,2,009D,185520.0,BOEDO AV.,1422.0,2020-01-24
48,32,30,145404.0,REMEDIOS,2931.0,2020-01-24
1,9,19,220801.0,RIVADAVIA AV.,743.0,2020-01-24
22,68,23,180066.0,COMBATE DE LOS POZOS,994.0,2020-01-25
11,5,12,441209.0,PUEYRREDON AV.,1445.0,2020-01-25
22,44,2,180772.0,ESTADOS UNIDOS,2112.0,2020-01-25
23,111,8,413225.0,OLLEROS AV.,1712.0,2020-01-25
59,72,021A,309190.0,SAN BLAS,1613.0,2020-01-25
40,130,37,155336.0,SENILLOSA,491.0,2020-01-25
37,133,19,410280.0,"LORETO, Virrey",2619.0,2020-01-25
11,70,35,440116.0,RIOBAMBA,904.0,2020-01-25
19,172,006F,428142.0,"BORGES, JORGE LUIS",2434.0,2020-01-25
37,062A,66,409114.0,ELCANO AV.,3335.0,2020-01-25
2,39,002D,218519.0,REPUBLICA BOLIVARIANA DE VENEZUELA,436.0,2020-01-25
12,58,13,216745.0,LIMA,31.0,2020-01-25
3,4,008A,453054.0,ARENALES,1178.0,2020-01-25
31,30,9,422247.0,"RAMIREZ DE VELASCO, JUAN",779.0,2020-01-25
15,89,33,445585.0,AGUERO,1960.0,2020-01-25
35,110B,28,406211.0,GOROSTIAGA,2485.0,2020-01-25
22,19,4,181763.0,"CALVO, CARLOS",2434.0,2020-01-25
65,37,33,136735.0,TERRADA,736.0,2020-01-25
23,122,8,413249.0,DEL LIBERTADOR AV.,4994.0,2020-01-25
48,91,36,143481.0,PEDERNERA,813.0,2020-01-25
87,081A,016A,299698.0,"LOZANO, PEDRO",4797.0,2020-01-25
30,21,18,184813.0,"GARAY, JUAN DE AV.",3317.0,2020-01-25
7,40,25,451586.0,TALCAHUANO,1052.0,2020-01-25
40,147A,18,154704.0,SENILLOSA,87.0,2020-01-25
5,73,17,221397.0,"PELLEGRINI, CARLOS",645.0,2020-01-25
47,132,027B,307667.0,PADILLA,408.0,2020-01-25
15,115,17,442974.0,LAPRIDA,1139.0,2020-01-25
15,53,7,446196.0,"PACHECO DE MELO, JOSE ANDRES",2950.0,2020-01-25
75,13,1,363707.0,FRANCO,3006.0,2020-01-26
23,54,012K,415430.0,"CAMPOS, LUIS M. AV.",1562.0,2020-01-26
37,079A,26,409412.0,ELCANO AV.,3169.0,2020-01-26
36,127,25,150421.0,"CALVO, CARLOS",3677.0,2020-01-26
14,32,7,212901.0,"CALVO, CARLOS",1456.0,2020-01-26
1,16,025A,223772.0,MAIPU,730.0,2020-01-26
29,100,8,340316.0,11 DE SEPTIEMBRE DE 1888,4279.0,2020-01-26
12,5,11,218352.0,MORENO,1780.0,2020-01-26
89,42,021D,303705.0,VALLEJOS,4435.0,2020-01-26
48,63,012B,147438.0,LAFUENTE,210.0,2020-01-26
3,33,002J,453550.0,DEL LIBERTADOR AV.,336.0,2020-01-26
25,051B,0,336049.0,11 DE SEPTIEMBRE DE 1888,2231.0,2020-01-26
