seccion,manzana,parcela,partida,calle_nombre,calle_altura,vencimiento_certificado,direccion,lat,lon,epsg
21,2,9,429255.0,"ALVAREZ, JULIAN",2531,2019-03-12,"ALVAREZ, JULIAN 2531",-34.586111,-58.413591,4326
79,89,22,260164.0,"LAMARCA, EMILIO",1014,2019-03-30,"LAMARCA, EMILIO 1014",-34.622146,-58.482847,4326
17,14,27,173288.0,SARMIENTO,4579,2019-05-03,SARMIENTO 4579,Sin dato,Sin dato,Sin dato
42,16,1,140186.0,DIRECTORIO AV.,1706,2019-06-10,DIRECTORIO AV. 1706,-34.630757,-58.451690,4326
11,65,6,442215.0,ALVEAR AV.,1974,2019-06-16,ALVEAR AV. 1974,-34.587221,-58.389945,4326
11,50,8,442338.0,LAS HERAS GENERAL AV.,2062,2019-07-01,LAS HERAS GENERAL AV. 2062,-34.589685,-58.394598,4326
87,020A,16,286628.0,NOGOYA,5138,2019-07-18,NOGOYA 5138,-34.617725,-58.515709,4326
22,23,29,181631.0,PAVON,2361,2019-07-18,PAVON 2361,-34.627024,-58.398147,4326
2,12,12,216001.0,PIEDRAS,534,2019-07-25,PIEDRAS 534,-34.614353,-58.377488,4326
2,29,12,215605.0,CHILE,577,2019-07-25,CHILE 577,-34.616040,-58.374166,4326
65,16,1,137448.0,ARGERICH,698,2019-07-31,ARGERICH 698,-34.624762,-58.474187,4326
3,56,005G,453032.0,SAN MARTIN,1109,2019-07-31,SAN MARTIN 1109,-34.594927,-58.374376,4326
3,54,30,450128.0,RECONQUISTA,962,2019-08-01,RECONQUISTA 962,-34.596722,-58.373097,4326
3,30,11,450536.0,SUIPACHA,1183,2019-08-08,SUIPACHA 1183,-34.594299,-58.379932,4326
3,19,6,450627.0,PARAGUAY,956,2019-08-08,PARAGUAY 956,-34.597813,-58.380609,4326
4,17,24,210907.0,"CALVO, CARLOS",659,2019-08-09,"CALVO, CARLOS 659",-34.619652,-58.375209,4326
22,60,30,180311.0,"CALVO, CARLOS",1901,2019-08-12,"CALVO, CARLOS 1901",-34.620433,-58.393327,4326
3,54,025A,450102.0,RECONQUISTA,906,2019-08-15,RECONQUISTA 906,-34.597193,-58.373030,4326
9,48,024A,207857.0,TUCUMAN,2247,2019-08-26,TUCUMAN 2247,-34.602177,-58.399229,4326
15,106,24,443372.0,ARENALES,2871,2019-08-26,ARENALES 2871,-34.591175,-58.405762,4326
19,143,2,428511.0,CHARCAS,4514,2019-09-06,CHARCAS 4514,-34.582266,-58.425112,4326
11,61,26,442137.0,"LOPEZ, VICENTE",1933,2019-09-06,"LOPEZ, VICENTE 1933",Sin dato,Sin dato,Sin dato
45,75,11,175567.0,HIDALGO,873,2019-09-12,HIDALGO 873,-34.609359,-58.441248,4326
42,9,16,140076.0,CARABOBO AV.,144,2019-09-24,CARABOBO AV. 144,-34.628571,-58.455704,4326
33,65,19,402228.0,OLLEROS,3651,2019-09-25,OLLEROS 3651,-34.582471,-58.451009,4326
65,110C,16,134229.0,GRANADEROS,174,2019-09-27,GRANADEROS 174,-34.625657,-58.459886,4326
25,15,010A,335345.0,ARCOS,1816,2019-09-30,ARCOS 1816,-34.563066,-58.451584,4326
16,53,007A,112364.0,"GARAY, JUAN DE AV.",1264,2019-10-04,"GARAY, JUAN DE AV. 1264",-34.627066,-58.383797,4326
20,3,32,202346.0,SAAVEDRA,483,2019-10-08,SAAVEDRA 483,-34.615283,-58.402958,4326
41,86,017A,371672.0,MONROE,3045,2019-10-25,MONROE 3045,-34.561751,-58.465861,4326
4,16,27,210946.0,HUMBERTO 1°,639,2019-12-07,HUMBERTO 1° 639,-34.620754,-58.374927,4326
15,104,029A,447193.0,CHARCAS,2955,2019-12-10,CHARCAS 2955,-34.593275,-58.407861,4326
71,5,17,256337.0,"GUTIERREZ, RICARDO",3193,2019-12-16,"GUTIERREZ, RICARDO 3193",-34.601187,-58.495252,4326
15,92,18,445676.0,"PACHECO DE MELO, JOSE ANDRES",2665,2019-12-23,"PACHECO DE MELO, JOSE ANDRES 2665",-34.586671,-58.401496,4326
8,33,16,111054.0,BRASIL,819,2020-01-16,BRASIL 819,-34.626352,-58.376497,4326
65,47,4,136384.0,"VALLESE, FELIPE",2730,2020-01-16,"VALLESE, FELIPE 2730",-34.622517,-58.470734,4326
49,32,009C,311837.0,DONADO,882,2020-01-16,DONADO 882,-34.585525,-58.470912,4326
74,140,17,12925.0,PIZARRO,6052,2020-01-16,PIZARRO 6052,-34.648236,-58.506997,4326
27,84,23,338094.0,MONTAÑESES,3010,2020-01-16,MONTAÑESES 3010,-34.549077,-58.456375,4326
19,104,001H,426131.0,ARAOZ,1942,2020-01-16,ARAOZ 1942,Sin dato,Sin dato,Sin dato
19,122,13,428493.0,PARAGUAY,4688,2020-01-16,PARAGUAY 4688,-34.583198,-58.426247,4326
12,7,20,218292.0,ENTRE RIOS AV.,196,2020-01-16,ENTRE RIOS AV. 196,-34.611348,-58.391710,4326
41,142,5,327618.0,"RIVERA, PEDRO I., Dr.",2576,2020-01-16,"RIVERA, PEDRO I., Dr. 2576",-34.557782,-58.462716,4326
21,34,008C,429653.0,"SCALABRINI ORTIZ, RAUL",2890,2020-01-16,"SCALABRINI ORTIZ, RAUL 2890",-34.582708,-58.412276,4326
22,68,4,180047.0,ESTADOS UNIDOS,1828,2020-01-16,ESTADOS UNIDOS 1828,-34.619190,-58.392221,4326
17,101,027D,170096.0,BULNES,210,2020-01-16,BULNES 210,-34.608261,-58.418811,4326
7,18,14,452272.0,ARENALES,1662,2020-01-16,ARENALES 1662,-34.595016,-58.391324,4326
7,18,039A,452250.0,SANTA FE AV.,1637,2020-01-16,SANTA FE AV. 1637,-34.595731,-58.390701,4326
65,63,9,135611.0,ESTADO PLURINACIONAL DE BOLIVIA,387,2020-01-16,ESTADO PLURINACIONAL DE BOLIVIA 387,-34.626344,-58.466931,4326
17,55,47,171712.0,GASCON,254,2020-01-16,GASCON 254,-34.609414,-58.424670,4326
2,2,028A,216258.0,CHILE,801,2020-01-16,CHILE 801,-34.616282,-58.377894,4326
72,14,43,21458.0,"SUAREZ, JOSE LEON",219,2020-01-16,"SUAREZ, JOSE LEON 219",-34.641948,-58.527536,4326
15,133,4,441340.0,"MANSILLA, LUCIO NORBERTO, GENERAL",2554,2020-01-16,"MANSILLA, LUCIO NORBERTO, GENERAL 2554",-34.596302,-58.403889,4326
22,36,29,181095.0,"CALVO, CARLOS",2255,2020-01-16,"CALVO, CARLOS 2255",-34.620721,-58.397855,4326
54,81,001A,91870.0,"CARRERAS, SANTIAGO de las",27,2020-01-16,"CARRERAS, SANTIAGO de las 27",-34.635991,-58.489389,4326
28,37,2,193947.0,BELGRANO AV.,3168,2020-01-16,BELGRANO AV. 3168,-34.615392,-58.410688,4326
72,139,9,13111.0,"BOSCH, VENTURA",6370,2020-01-16,"BOSCH, VENTURA 6370",-34.642247,-58.516332,4326
7,18,037A,452252.0,SANTA FE AV.,1651,2020-01-16,SANTA FE AV. 1651,-34.595736,-58.390939,4326
65,30,6,137243.0,GAONA AV.,3542,2020-01-16,GAONA AV. 3542,-34.620954,-58.474875,4326
43,30,8,368922.0,MELIAN AV.,3685,2020-01-16,MELIAN AV. 3685,-34.554412,-58.480340,4326
48,43,004A,148573.0,LAFUENTE AV.,809,2020-01-16,LAFUENTE AV. 809,-34.640156,-58.463895,4326
41,134,023C,377280.0,CONGRESO AV.,2641,2020-01-16,CONGRESO AV. 2641,-34.556552,-58.464773,4326
36,138,11,150011.0,COLOMBRES,48,2020-01-17,COLOMBRES 48,-34.612040,-58.419360,4326
7,24,15,452451.0,"QUINTANA, MANUEL, PRES.",263,2020-01-17,"QUINTANA, MANUEL, PRES. 263",-34.590242,-58.387526,4326
17,49,32,172331.0,HUMAHUACA,4317,2020-01-17,HUMAHUACA 4317,-34.601382,-58.425735,4326
22,60,5,180285.0,ESTADOS UNIDOS,1936,2020-01-17,ESTADOS UNIDOS 1936,-34.619547,-58.393716,4326
9,47,20,206234.0,LAVALLE,2285,2020-01-17,LAVALLE 2285,-34.603297,-58.399350,4326
37,062B,20,409334.0,DE LOS INCAS AV.,3438,2020-01-17,DE LOS INCAS AV. 3438,-34.573727,-58.461728,4326
48,24,005A,149972.0,"FALCON, RAMON L.,CNEL.",3065,2020-01-17,"FALCON, RAMON L.,CNEL. 3065",-34.632762,-58.471383,4326
30,85,28,182816.0,"CALVO, CARLOS",2861,2020-01-17,"CALVO, CARLOS 2861",-34.621649,-58.405525,4326
13,15,27,192376.0,BILLINGHURST,308,2020-01-17,BILLINGHURST 308,-34.606782,-58.416318,4326
22,5,19,182103.0,ALBERTI,1275,2020-01-17,ALBERTI 1275,-34.624508,-58.400373,4326
35,112,37,402952.0,HUMBOLDT,2344,2020-01-17,HUMBOLDT 2344,-34.579758,-58.429608,4326
7,41,027B,451591.0,SANTA FE AV.,1335,2020-01-17,SANTA FE AV. 1335,-34.595620,-58.386343,4326
65,93,16,135205.0,PAEZ,2415,2020-01-17,PAEZ 2415,-34.620040,-58.466882,4326
79,133,21,258977.0,"GARCIA, JUAN AGUSTIN",3399,2020-01-17,"GARCIA, JUAN AGUSTIN 3399",-34.613478,-58.488155,4326
15,147,1,445258.0,"GELLY Y OBES, GRAL. AV.",2294,2020-01-17,"GELLY Y OBES, GRAL. AV. 2294",-34.585561,-58.396729,4326
19,14,2,426289.0,GORRITI,4640,2020-01-17,GORRITI 4640,-34.591878,-58.427434,4326
48,114C,16,142393.0,CRANWELL,586,2020-01-17,CRANWELL 586,-34.635594,-58.458599,4326
79,139,30,258246.0,"DIAZ, CESAR, GRAL.",3253,2020-01-17,"DIAZ, CESAR, GRAL. 3253",-34.616716,-58.483492,4326
30,63,6,183633.0,SAN JUAN AV.,3046,2020-01-17,SAN JUAN AV. 3046,-34.624575,-58.407954,4326
65,37,1,136727.0,"VALLESE, FELIPE",2802,2020-01-17,"VALLESE, FELIPE 2802",-34.622854,-58.471807,4326
87,032B,019A,305198.0,"SASTRE, MARCOS",5054,2020-01-17,"SASTRE, MARCOS 5054",-34.618251,-58.512561,4326
77,75,17,2246.0,SEGUROLA AV.,128,2020-01-17,SEGUROLA AV. 128,-34.632759,-58.483955,4326
43,162,2,334297.0,ARIAS,2520,2020-01-17,ARIAS 2520,-34.542767,-58.474591,4326
7,5,001A,452591.0,JUNCAL,1756,2020-01-17,JUNCAL 1756,-34.593978,-58.392283,4326
8,2,005E,117905.0,ISABEL LA CATOLICA,323,2020-01-18,ISABEL LA CATOLICA 323,-34.635423,-58.374080,4326
21,83,23,430593.0,CERVIÑO AV.,4471,2020-01-18,CERVIÑO AV. 4471,-34.575995,-58.420771,4326
71,054A,000F,310258.0,TINOGASTA,2685,2020-01-18,TINOGASTA 2685,-34.597089,-58.489914,4326
48,114C,13,142390.0,CRANWELL,568,2020-01-18,CRANWELL 568,-34.635407,-58.458800,4326
31,102,14,421409.0,"SCALABRINI ORTIZ, RAUL AV.",1203,2020-01-18,"SCALABRINI ORTIZ, RAUL AV. 1203",-34.593730,-58.429027,4326
13,92,005A,195517.0,TUCUMAN,2842,2020-01-18,TUCUMAN 2842,-34.601720,-58.406462,4326
48,122,016C,458175.0,DIRECTORIO AV.,2241,2020-01-18,DIRECTORIO AV. 2241,-34.632683,-58.458369,4326
2,18,7,215885.0,PIEDRAS,30,2020-01-18,PIEDRAS 30,-34.608616,-58.377760,4326
37,118A,018B,410723.0,CRAMER AV.,1764,2020-01-18,CRAMER AV. 1764,-34.568068,-58.458575,4326
48,96,6,143282.0,"BONIFACIO, JOSE",2576,2020-01-18,"BONIFACIO, JOSE 2576",-34.633144,-58.463539,4326
23,114,23,413481.0,"GARCIA, TEODORO",1733,2020-01-18,"GARCIA, TEODORO 1733",-34.563299,-58.440146,4326
39,7,2,326685.0,MONROE,3766,2020-01-18,MONROE 3766,-34.566501,-58.472868,4326
22,22,12,181660.0,PAVON,2378,2020-01-18,PAVON 2378,-34.627160,-58.398365,4326
19,148,17,424967.0,CHARCAS,3631,2020-01-18,CHARCAS 3631,-34.588694,-58.416298,4326
30,57,28,183757.0,"GARAY, JUAN DE AV.",3081,2020-01-18,"GARAY, JUAN DE AV. 3081",-34.629394,-58.408087,4326
48,144,24,140944.0,LAUTARO,139,2020-01-18,LAUTARO 139,-34.628958,-58.456942,4326
15,106,14,443382.0,AGUERO,1791,2020-01-18,AGUERO 1791,-34.590506,-58.405534,4326
15,32,14,446439.0,BILLINGHURST,2534,2020-01-18,BILLINGHURST 2534,-34.582911,-58.403627,4326
39,86,10,326624.0,OLAZABAL,2649,2020-01-18,OLAZABAL 2649,-34.561550,-58.460717,4326
45,150,16,173946.0,DIAZ VELEZ AV.,4569,2020-01-18,DIAZ VELEZ AV. 4569,-34.608656,-58.431714,4326
48,100C,6,143157.0,PEDERNERA,1030,2020-01-18,PEDERNERA 1030,-34.639911,-58.456383,4326
49,133,17,238701.0,TRIUNVIRATO AV.,2883,2020-01-18,TRIUNVIRATO AV. 2883,-34.585015,-58.463138,4326
8,52,021A,118194.0,"GARCIA, MARTIN AV.",417,2020-01-18,"GARCIA, MARTIN AV. 417",-34.629768,-58.371073,4326
48,112F,6,142564.0,ROBERTSON,740,2020-01-18,ROBERTSON 740,-34.637247,-58.457330,4326
19,103,15,425754.0,SOLER,4263,2020-01-18,SOLER 4263,-34.589790,-58.420885,4326
1,37,002B,220371.0,LAVALLE,416,2020-01-18,LAVALLE 416,Sin dato,Sin dato,Sin dato
36,12,32,160976.0,MUÑIZ,469,2020-01-18,MUÑIZ 469,-34.618935,-58.427227,4326
48,113G,6,142513.0,ROBERTSON,640,2020-01-18,ROBERTSON 640,-34.636463,-58.458155,4326
54,042A,20,25820.0,MORETO,629,2020-01-18,MORETO 629,-34.643443,-58.488065,4326
81,147,28,264015.0,CAMPANA,2450,2020-01-18,CAMPANA 2450,-34.608144,-58.491610,4326
35,85,27,402873.0,HUMBOLDT,2160,2020-01-19,HUMBOLDT 2160,-34.581339,-58.431423,4326
4,32,26,210388.0,COCHABAMBA,373,2020-01-19,COCHABAMBA 373,-34.622990,-58.370928,4326
25,70,014B,376792.0,DEL LIBERTADOR AV.,6037,2020-01-19,DEL LIBERTADOR AV. 6037,-34.556281,-58.447874,4326
48,122,23,141624.0,"BONORINO, ESTEBAN, Cnel. AV.",349,2020-01-19,"BONORINO, ESTEBAN, Cnel. AV. 349",-34.632019,-58.458019,4326
65,30,12,137237.0,GAONA AV.,3576,2020-01-19,GAONA AV. 3576,-34.621205,-58.475355,4326
48,114D,24,142435.0,CRANWELL,579,2020-01-19,CRANWELL 579,-34.635571,-58.458724,4326
30,73,9,183338.0,SAN JUAN AV.,2937,2020-01-19,SAN JUAN AV. 2937,-34.624210,-58.406349,4326
