Código,Calidad 1,Calidad 2,Calidad 3,Calidad 4
20010101,19,14,3,2
20010201,13,42,59,20
20010202,19,39,51,5
20010203,8,26,63,1
20010204,13,32,59,6
20010205,15,22,39,5
20010206,19,66,74,15
20010207,6,22,36,3
20010208,9,75,38,10
20010209,13,32,48,4
20010210,6,26,20,4
20010211,30,82,55,2
20010212,70,184,63,3
20010213,17,44,54,4
20010214,26,96,39,4
20010215,30,73,39,2
20010216,74,211,66,12
20010217,18,70,60,2
20010218,10,71,35,6
20010219,16,51,23,3
20010301,4,76,55,23
20010302,14,74,48,9
20010303,6,92,55,9
20010304,6,45,62,5
20010305,20,129,34,23
20010306,32,139,59,15
20010307,14,60,31,1
20010308,40,154,34,5
20010309,42,221,62,14
20010310,30,158,30,10
20010311,20,137,20,27
20010312,19,78,35,27
20010313,15,65,10,1
20010314,26,73,23,8
20010315,35,184,23,2
20010316,29,154,14,1
20010317,30,50,76,8
20010318,15,127,22,8
20010319,31,142,115,9
20010320,1,50,39,14
20010321,7,64,14,12
20010322,11,72,66,39
20010323,18,119,95,28
20010401,554,34,0,0
20010402,498,14,1,0
20010403,299,17,0,0
20010404,415,21,0,0
20010405,270,20,3,0
20010406,343,19,1,0
20010407,393,15,11,0
20010408,311,25,1,0
20010501,196,16,12,12
20010502,202,37,0,0
20010503,359,25,1,0
20010504,467,16,0,0
20010505,229,8,0,0
20010506,336,16,1,0
20010507,253,16,1,0
20010601,290,24,10,0
20010602,191,19,0,0
20010603,382,25,1,0
20010604,374,18,0,0
20010605,159,6,2,0
20010606,223,8,4,0
20010607,206,17,1,0
20010608,280,12,0,0
20010609,405,5,0,0
20010610,172,8,2,0
20010701,241,19,0,0
20010702,107,2,0,1
20010703,94,30,0,0
20010704,224,43,1,0
20010705,131,15,1,0
20010706,68,11,1,0
20010707,229,13,1,0
20010708,195,38,3,0
20010709,173,10,0,0
20010710,204,22,3,0
20010711,107,28,0,0
20010712,147,26,0,0
20010713,59,5,0,0
20010801,167,19,1,0
20010802,493,67,2,0
20010803,396,42,0,0
20010804,265,26,0,1
20010805,199,15,0,0
20010806,536,28,0,0
20010807,506,39,1,0
20010808,170,17,1,0
20010809,243,12,2,0
20010810,147,34,0,0
20010901,150,9,1,1
20010902,163,25,1,0
20010903,157,15,1,16
20010904,113,19,1,0
20010905,157,30,0,0
20010906,148,25,0,0
20010907,230,47,2,1
20010908,134,11,0,0
20010909,195,28,1,0
20010910,94,11,1,0
20010911,108,8,0,0
20010912,69,5,0,0
20010913,170,20,1,0
20010914,101,18,2,0
20010915,85,15,0,0
20010916,231,32,13,0
20010917,164,42,0,0
20010918,149,7,5,0
20010919,54,4,0,0
20011001,98,19,0,1
20011002,242,31,0,0
20011003,425,80,1,0
20011004,201,21,0,0
20011005,198,35,0,0
20011006,253,12,0,0
20011007,117,8,1,0
20011008,133,18,0,1
20011009,147,13,0,0
20011010,259,28,0,0
20011011,308,36,1,0
20011012,185,84,5,1
20011013,295,37,2,0
20011014,94,16,0,0
20011101,166,36,0,0
20011102,227,18,13,0
20011103,91,23,81,0
20011104,260,46,0,0
20011105,152,51,7,0
20011106,168,38,0,0
20011107,228,40,13,1
20011108,325,22,1,0
20011109,182,11,0,0
20011110,221,43,3,0
20011111,91,23,1,0
20011112,310,61,4,0
20011113,262,21,1,0
20011114,256,30,0,0
20011201,102,12,0,0
20011202,107,22,0,0
20011203,261,48,1,0
20011204,128,36,2,0
20011205,210,45,2,0
20011206,149,32,3,0
20011207,285,54,3,0
20011208,109,17,3,0
20011209,291,29,7,0
20011210,82,14,1,0
20011211,103,24,0,5
20011212,77,12,0,0
20011301,154,8,0,0
20011302,51,8,0,0
20011303,20,0,0,0
20011304,117,15,4,0
20011305,140,7,0,3
20011306,81,14,0,0
20011307,233,3,0,0
20011308,141,14,0,0
20011309,139,6,9,0
20011310,227,2,0,0
20011311,121,11,5,0
20011312,133,5,0,0
20011313,96,5,0,1
20011314,65,308,140,48
20011315,0,0,0,0
20011401,180,12,1,0
20011402,105,89,13,3
20011403,156,19,0,0
20011404,32,5,0,0
20011405,154,34,5,0
20011406,224,61,4,0
20011407,201,7,0,0
20011408,140,40,5,3
20011409,222,18,6,0
20011410,147,58,2,5
20011411,230,23,0,0
20011412,179,32,5,0
20011501,157,6,2,0
20011502,208,20,13,1
20011503,139,36,24,0
20011504,284,32,3,0
20011505,113,38,3,1
20011506,258,37,5,0
20011507,229,15,1,0
20011508,247,52,7,0
20011509,255,60,15,0
20011510,242,26,2,0
20011511,193,18,26,0
20011601,181,5,0,0
20011602,148,15,0,0
20011603,357,47,0,0
20011604,276,53,2,0
20011605,171,27,2,0
20011606,180,14,0,0
20011607,330,94,23,0
20011608,203,11,1,0
20011609,151,5,0,0
20011610,255,23,3,0
20011611,193,17,3,0
20011612,127,5,0,0
20011701,291,64,1,0
20011702,223,52,5,1
20011703,282,11,1,0
20011704,266,12,2,0
20011705,231,20,0,0
20011706,283,67,0,0
20011707,296,22,0,0
20011708,209,32,2,0
20011709,214,23,1,0
20011710,243,31,0,0
20011711,181,34,0,0
20011801,338,10,1,0
